Companies,SectorCategory,HQ_Country,Countries_Filled,Backdate,Responded,German,Regions,Response.Sectors,Responded.To,Tags
Polo Ralph Lauren|Ralph Lauren,Retail and consumer products,US,BD,2025-03-13,Yes,0,NA,Clothing & textile,Mauritius: 240 garment workers 'blindsided' by sudden layoffs at factory; incl. co. responses,Labour Rights|Purchasing practices
Georgian Manganese LLC,Extractive,GE,GE,2025-03-11,Yes,0,NA,Mining,Georgia: Shukruti residents protest against Georgian Manganese demanding compensation for damaged housing; co. denies allegations,Adequate Living Standards|Dismissal|Freedom of Assembly|Impacts on Livelihoods|Land Rights|Other Discrimination|Protests
Hudbay Minerals,Extractive,CA,CA,2025-03-10,Yes,0,NA,Mining,Canada: alleged insufficient consultation with Indigenous Peoples regarding the expansion of Copper Mountain Mine,"Free, prior & informed consent|Insufficient/inadequate consultation"
Kambove Mining (JV between China Nonferrous Metals Company (55%) and Gécamines (45%)),Extractive,CD,CD,2025-03-13,No,0,Africa,Mining,RDC: Le ministre du Katanga dénonce les conditions de travail dans les mines,Occupational Health & Safety
Ruashi Mining SAS (JV between Metorex (75%) and Gecamines (25%)),Extractive,CD,CD,2025-03-13,No,0,Africa,Mining,"RDC: Décès à la mine de Musonoi, non-réponse de Ruashi Mining",Deaths|Occupational Health & Safety|Workers/Employees
China North Industries (NORINCO),Other,CN,MM,2025-03-10,No,0,NA,Mining,Myanmar: Junta Forces Allegedly Target Civilians to Protect Chinese Mine,Injuries|Killings|State armed forces|Violence
Lundin Mining,Extractive,CA,PT,2025-03-14,Yes,0,NA,Mining,Portugal: Miners at Neves-Corvo complain of labour rights abuse,Fair & Equal Wages|Occupational Health & Safety|Strikes and other work stoppages
Rio Tinto,Extractive,GB,US,2025-03-13,Yes,0,NA,Mining,USA: Allegations of environmental pollution at Bingham Canyon mine,Air pollution|Water pollution
National Mineral Development Corporation (NMDC),Extractive,IN,IN,2025-03-06,No,0,NA,Mining,India: health impacts of mine workers in Baladila mines,"Access to Water|Air pollution|Clean, Healthy & Sustainable Environment|Corruption|Displacement|Free, prior & informed consent|Impacts on Livelihoods|Insufficient/inadequate consultation|Land Rights|Occupational Health & Safety|Protests|Water pollution"
Jiangxi Copper Company,Extractive,CN,CN,2025-03-11,No,0,NA,Mining,China: Mining operations cause water pollution and human health risks,"Clean, Healthy & Sustainable Environment|Personal Health|Water pollution"
BHP,Extractive,AU,AU,2025-03-07,Yes,0,NA,Mining,Australia: Dust pollution in Newman due to BHP mines,"Clean, Healthy & Sustainable Environment|Personal Health|Water pollution"
PT Gema Kreasi Perdana (PT GKP),Extractive,ID,ID,2025-03-11,Yes,0,NA,Mining,Indonesia: Nickel boom in Sulawesi threatens farmers' land rights and harm environment,"Access to Water|Air pollution|Clean, Healthy & Sustainable Environment|Corruption|Impacts on Livelihoods|Insufficient/inadequate consultation|Intimidation|Land Rights|Protection from arbitrary arrest, detention or exile|Protests|Soil pollution|State armed forces|Violation of environmental safety standards|Water pollution"
PT Mining Industry Indonesia (MIND ID),Extractive,ID,ID,2025-03-06,No,0,NA,Mining,Indonesia: Grasberg Mine allegedly violates environmental standards,"Clean, Healthy & Sustainable Environment|Impacts on Livelihoods|Water pollution"
BHP|Samarco Mineraçao S.A. (Joint venture between Vale S.A. (50%) and BHP (50%))|Vale,Extractive,BR,BR,2025-03-06,No,0,NA,Mining,Brazil: Environmental and Human Rights Violations Persist After Mariana Dam Collapse,"Access to Non-Judicial Remedy|Adequate Living Standards|Clean, Healthy & Sustainable Environment|Displacement|Forced Relocation|Impacts on Livelihoods"
Compagnie Minière de l'Ogooué (COMILOG) (JV between the ERAMET (63.71%) and the Société Équatoriale des Mines (SEM) (28.94%)),Extractive,GA,GA,2025-03-10,Yes,0,Africa,Mining,Gabon: Eramet-Comilog accusée de discriminations envers les salariés gabonais,"Racial, ethnicity, caste or origin discrimination|Strikes and other work stoppages"
Chemaf,Extractive,CD,CD,2025-03-14,No,0,Africa,Mining,RDC: Des agents de la mine Etoile licenciés par la société Chemaf en attente de compensation et de réintégration,Dismissal|Wage Theft
Zijin Mining,Extractive,CN,CN|RS,2025-03-14,Yes,0,NA,Mining,Serbia: Workers injured at Zijin's Cukaru Peki mine,"Adequate Living Standards|Air pollution|Clean, Healthy & Sustainable Environment|Deaths|Fair & Equal Wages|Occupational Health & Safety|Personal Health|Protests|Soil pollution|Violation of environmental safety standards|Water pollution"
"Société Minière de Boké (JV between Winning International Group (40.5%), United Mining Supply (UMS) (27%), Shandong Weiqiao Aluminium and Power (22.5%), Guinean Government (10%))",Extractive,GN,GN,2025-03-14,No,0,NA,Mining,Guinée: un audit communautaire liste les impacts sociaux et environnementaux de la Société Minière de Boké,"Access to Water|Air pollution|Clean, Healthy & Sustainable Environment|Impacts on Livelihoods|Insufficient/inadequate consultation|Land Rights|Personal Health|Water pollution"
China Nonferrous Metal Mining (CNMC)|Gécamines|Kambove Mining (JV between China Nonferrous Metals Company (55%) and Gécamines (45%)),Extractive,CD,CD,2025-03-14,No,0,Africa,Mining,RDC: Un mineur artisanal tué sur le site minier de Kambove,Killings|State armed forces
4C Services GmbH,Financial services,DE,Global,2025-03-17,Yes,1,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|EU & European Parliament|European Union|Supply Chains
Dallmayr,Food and beverage,DE,Global,2025-03-17,Yes,1,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|EU & European Parliament|European Union|Supply Chains
Melitta Group,Food and beverage,DE,Global,2025-03-17,Yes,1,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|EU & European Parliament|European Union|Supply Chains
Equinox Gold,Extractive,CA,MX,2025-03-17,Yes,0,NA,Mining,Mexico: Community of Carrizalillo denounces increased criminalization and death threats by mining company Equinox Gold,"Access to Water|Free, prior & informed consent|Human Rights Defenders|Impacts on Livelihoods|Insufficient/inadequate consultation|Land Rights"
Segafredo Zanetti,Food and beverage,IT,Global,2025-03-17,No,0,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Ecom Agroindustrial,Food and beverage,CH,Global,2025-03-17,No,0,NA,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Illycaffè,Food and beverage,IT,Global,2025-03-17,Yes,0,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Lavazza,Food and beverage,IT,Global,2025-03-17,Yes,0,NA,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Nestlé,Food and beverage,CH,Global,2025-03-17,Yes,0,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Starbucks,Food and beverage,US,Global,2025-03-17,No,0,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Tchibo (part of Maxingvest),Retail and consumer products,DE,Global,2025-03-14,Yes,1,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Jacobs Douwe Egberts,Food and beverage,NL,Global,2025-03-17,Yes,0,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Olam,Food and beverage,SG,Global,2025-03-17,Yes,0,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Louis Dreyfus,Food and beverage,FR,Global,2025-03-14,Yes,0,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Touton,Food and beverage,FR,Global,2025-03-17,No,0,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Neumann Kaffee Gruppe,Food and beverage,DE,Global,2025-03-13,Yes,1,Europe & Central Asia,Coffee,"EU: Coffee sector must ""cease...attacks"" of deforestation legislation amid ""harmful"" lobbying by coffee federations, says report; incl. cos. responses & non-responses",Deforestation|Legislative developments|Supply Chains
Kia Motors (UK) Ltd,Heavy manufacturing,GB,BR|MX,2025-03-17,No,0,NA,Automobile & other motor vehicles|Metals & steel,Brazil & Mexico: Report links Hyundai and Kia’s steel supply to companies with human rights and environmental violations,"Air pollution|Clean, Healthy & Sustainable Environment|Complicity|Personal Health|Supply Chains"
Ternium (part of Techint Group),Heavy manufacturing,LU,BR|MX,2025-03-17,Yes,0,NA,Automobile & other motor vehicles|Metals & steel,Brazil & Mexico: Report links Hyundai and Kia’s steel supply to companies with human rights and environmental violations,"Access to Water|Air pollution|Clean, Healthy & Sustainable Environment|Complicity|Personal Health|Supply Chains"
Vale,Other,BR,BR,2025-03-17,Yes,0,NA,Mining,Brasil: Vale e forças estatais são acusadas de expulsar trabalhadores rurais no Pará,Impacts on Livelihoods|Intimidation|Land Rights|Private security|State armed forces
Sierra Gorda SCM (Joint venture of KGHM (55%) and South32 (45%)),Extractive,CL,CL,2025-03-18,Yes,0,NA,Mining,Chile: Diputada denuncia contaminación minera y subsecuentes impactos en la salud de habitantes relacionada a minería en Sierra Gorda,"Air pollution|Clean, Healthy & Sustainable Environment|Personal Health"
G4S,Other,GB,GR,2025-03-13,Yes,0,NA,Security companies,"Greece: Surveillance technologies & ""prison-like"" conditions violate migrants' rights at refugee camp, finds report; incl. cos. responses & non-responses",Migrants & Immigrants|Right of Asylum|Surveillance
Adaptit,Information technology,GR,GR,2025-03-11,Yes,0,NA,Technology: General,"Greece: Surveillance technologies & ""prison-like"" conditions violate migrants' rights at refugee camp, finds report; incl. cos. responses & non-responses",Migrants & Immigrants|Right of Asylum|Surveillance
ESA Security Solutions,Information technology,GR,GR,2025-03-06,Yes,0,NA,Technology: General,"Greece: Surveillance technologies & ""prison-like"" conditions violate migrants' rights at refugee camp, finds report; incl. cos. responses & non-responses",Migrants & Immigrants|Right of Asylum|Surveillance
Space Hellas,Information technology,GR,GR,2025-03-06,Yes,0,NA,Technology: General,"Greece: Surveillance technologies & ""prison-like"" conditions violate migrants' rights at refugee camp, finds report; incl. cos. responses & non-responses",Migrants & Immigrants|Right of Asylum|Surveillance
AWZ Ventures,Financial services,CA,GR,2025-03-17,No,0,NA,Technology: General,"Greece: Surveillance technologies & ""prison-like"" conditions violate migrants' rights at refugee camp, finds report; incl. cos. responses & non-responses",Migrants & Immigrants|Right of Asylum|Surveillance
Octopus,Information technology,IL,GR,2025-03-17,No,0,NA,Technology: General,"Greece: Surveillance technologies & ""prison-like"" conditions violate migrants' rights at refugee camp, finds report; incl. cos. responses & non-responses",Migrants & Immigrants|Right of Asylum|Surveillance
viisights,Information technology,IL,GR,2025-03-17,No,0,NA,Technology: General,"Greece: Surveillance technologies & ""prison-like"" conditions violate migrants' rights at refugee camp, finds report; incl. cos. responses & non-responses",Migrants & Immigrants|Right of Asylum|Surveillance
Levi Strauss,Retail and consumer products,US,PL,2025-03-18,Yes,0,NA,Clothing & textile,"Poland: 650 workers laid off as Levi Strauss closes factory, citing issues incl. production costs; incl. co. response",Labour Rights|Purchasing practices
Lojas Renner SA,Retail and consumer products,BR,BD,2025-03-13,Yes,0,NA,Clothing & textile,Bangladesh: Garment workers report 'inhumane conditions' amid ongoing factory closures & layoffs; incl. co. responses,Labour Rights|Purchasing practices
Ok Tedi Mining (JV between Kumul Minerals (State of PNG) (67%) and Western Province entities 33%)),Extractive,PG,PG,2025-03-20,Yes,0,NA,Mining,Papua New Guinea: Ok Tedi Mine allegedly caused adverse environmental and health impacts,"Clean, Healthy & Sustainable Environment|Impacts on Livelihoods|Personal Health|Water pollution"
Fast Retailing|Uniqlo (part of Fast Retailing),Retail and consumer products,JP,ID,2025-03-21,Yes,0,NA,Clothing & textile,"Indonesia: Over 10,000 textile workers laid off following Sritex closure; incl. co. responses",Labour Rights|Purchasing practices
Volkswagen,Heavy manufacturing,DE,TZ,2025-03-14,Yes,1,NA,Not sector-specific,Tanzania: New report claims serious abuses linked to new carbon projects including one financed by Volkswagen; company responded,"Access to Information|Cultural Rights|Free, prior & informed consent|Impacts on Livelihoods|Indigenous Peoples|Land Rights"
Kropz,Extractive,ZA,ZA,2025-03-19,Yes,0,Africa,Mining,"South Africa: WWF challenges elandsfontein mine's environmental exemption in legal battle, Kropz issues a public response",Climate Justice|Human Rights and Environmental Due Diligence (HREDD)|Impacts on Livelihoods|Violation of environmental safety standards
FIFA,Other,CH,MX,2025-03-24,Yes,0,NA,Major Sporting Events,Mexico: Union says FIFA is allegedly reneging on a commitment to ensure workers’ safety on 2026 World Cup projects,Access to Information|Labour Rights
Asian Development Bank (ADB),Financial services,PH,IN,2025-03-25,No,0,NA,Solar energy,"India: Indigenous communities in Assam’s Karbi district protest ADB-backed solar project citing displacement, land rights violations & lack of consultation","Clean, Healthy & Sustainable Environment|Cultural Rights|Displacement|Economic, Social, and Cultural Rights|Forced Relocation|Free, prior & informed consent|Impact Assessment|Impact on notable or protected areas|Indigenous Peoples|Insufficient/inadequate consultation|Land Rights|Protests"
Alland & Robert,Extractive,FR,SD,2025-03-25,Yes,0,Africa,Food & beverage,"Sudanese conflict-affiliated arabic gum allegedly appears in major consumer goods companies supply chains, incl. Alland & Robert and Nestlé co.",Conflict & Peace|Conflict prevention & resolution|Corporate Legal Accountability|Human Rights and Environmental Due Diligence (HREDD)|Security Issues & Conflict Zones|Supply Chains|Violence
Nestlé,Food and beverage,CH,SD,2025-03-25,Yes,0,Africa,Food & beverage,"Sudanese conflict-affiliated arabic gum allegedly appears in major consumer goods companies supply chains, incl. Alland & Robert and Nestlé co.",Conflict & Peace|Conflict prevention & resolution|Consumers|Corporate Legal Accountability|Human Rights and Environmental Due Diligence (HREDD)|Security Issues & Conflict Zones|Supply Chains|Violence
L'Oreal,Retail and consumer products,FR,SD,2025-03-25,No,0,Africa,Toiletries & soap,"Sudanese conflict-affiliated arabic gum allegedly appears in major consumer goods companies supply chains, incl. Alland & Robert and Nestlé co.",Conflict & Peace|Conflict prevention & resolution|Consumers|Corporate Legal Accountability|Security Issues & Conflict Zones|Supply Chains|Violence
Coca-Cola,Food and beverage,US,SD,2025-03-25,No,0,Africa,Food & beverage,"Sudanese conflict-affiliated arabic gum allegedly appears in major consumer goods companies supply chains, incl. Alland & Robert and Nestlé co.",Conflict & Peace|Conflict prevention & resolution|Consumers|Corporate Legal Accountability|Security Issues & Conflict Zones|Supply Chains|Violence
Mars,Food and beverage,US,SD,2025-03-25,No,0,Africa,Food & beverage,"Sudanese conflict-affiliated arabic gum allegedly appears in major consumer goods companies supply chains, incl. Alland & Robert and Nestlé co.",Conflict & Peace|Conflict prevention & resolution|Consumers|Corporate Legal Accountability|Security Issues & Conflict Zones|Supply Chains|Violence
Marks & Spencer,Retail and consumer products,GB,BD,2025-03-20,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
BYD,Information technology,CN,CN,2025-03-25,Yes,0,Asia & Pacific,Auto parts,China: Battery and bus manufacturers accused of connection to forced labor practices,"Clean, Healthy & Sustainable Environment|Forced Labour & Modern Slavery|Labour Rights|Living Wage|Racial, ethnicity, caste or origin discrimination"
C&A,Retail and consumer products,DE,BD,2025-03-21,Yes,1,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Energy Transfer Partners,Extractive,US,US,2024-08-20,Yes,0,NA,"Oil, gas & coal",USA: Greenpeace ordered to pay USD660 million to Energy Transfer for its role in the protests against the Dakota Access Pipeline,"Clean, Healthy & Sustainable Environment|Freedom of Expression|Governments|Human Rights Defenders|Indigenous Peoples|Land Rights|Lawsuits & regulatory action|Protests|Strategic lawsuits against public participation (SLAPPs)|Unfair trial|Water pollution"
Bestseller,Retail and consumer products,DK,BD,2025-03-21,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
EVE Energy,Infrastructure and utilities,CN,CN,2025-03-25,Yes,0,Asia & Pacific,Battery,China: Battery and bus manufacturers accused of connection to forced labor practices,Forced Labour & Modern Slavery|Labour Rights
Mango,Retail and consumer products,ES,BD,2025-03-25,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Contemporary Amperex Technology (CATL),Heavy manufacturing,CN,CN,2025-03-25,No,0,Asia & Pacific,Battery,China: Battery and bus manufacturers accused of connection to forced labor practices,Forced Labour & Modern Slavery|Labour Rights
LPP Spółka Akcyjna,Retail and consumer products,PL,BD,2025-03-21,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Hennes & Mauritz (H&M),Retail and consumer products,SE,BD,2025-03-21,Yes,0,NA,Clothing & textile,"Indonesia: Over 10,000 textile workers laid off following Sritex closure; incl. co. responses",Labour Rights|Purchasing practices
Walmart,Retail and consumer products,US,BD,2025-03-25,No,0,NA,Clothing & textile,"Indonesia: Over 10,000 textile workers laid off following Sritex closure; incl. co. responses",Labour Rights|Purchasing practices
ASOS,Retail and consumer products,GB,MU,2025-03-21,Yes,0,NA,Clothing & textile,Mauritius: 240 garment workers 'blindsided' by sudden layoffs at factory; incl. co. responses,Labour Rights|Purchasing practices
New Look,Retail and consumer products,GB,MU,2025-03-14,Yes,0,NA,Clothing & textile,Mauritius: 240 garment workers 'blindsided' by sudden layoffs at factory; incl. co. responses,Labour Rights|Purchasing practices
New Look,Retail and consumer products,GB,MU,2025-03-19,Yes,0,NA,Clothing & textile,Mauritius: 240 garment workers 'blindsided' by sudden layoffs at factory; incl. co. responses,Labour Rights|Purchasing practices
Durapower,Information technology,SG,CN,2025-03-26,No,0,NA,Battery,China: Battery and bus manufacturers accused of connection to forced labor practices,Forced Labour & Modern Slavery
LG Chem,Information technology,KR,CN,2025-03-26,No,0,NA,Battery,China: Battery and bus manufacturers accused of connection to forced labor practices,Forced Labour & Modern Slavery
Samsung Electronics,Information technology,KR,CN,2025-03-26,No,0,NA,Battery,China: Battery and bus manufacturers accused of connection to forced labor practices,Forced Labour & Modern Slavery
SK Innovation,Extractive,KR,CN,2025-03-26,No,0,NA,Battery,China: Battery and bus manufacturers accused of connection to forced labor practices,Forced Labour & Modern Slavery
Yutong,Heavy manufacturing,CN,CN,2025-03-26,No,0,NA,Automobile & other motor vehicles|Bus,China: Battery and bus manufacturers accused of connection to forced labor practices,Forced Labour & Modern Slavery
Energias de Portugal (EDP),Infrastructure and utilities,PT,PT,2025-03-26,Yes,0,Europe & Central Asia,Renewable energy,Report accuses Energias de Portugal (EDP) of tax avoidance through investments in Netherlands,Tax avoidance & evasion
Compagnie des Bauxites de Guinée (CBG) (JV between the Government of Guinea (49%) and Halco Mining (51%)),Extractive,GN,GN,2025-03-26,No,0,NA,Mining,"Guinea: Mit deutscher Kreditabsicherung finanzierte Bauxit-Mine zerstört mutmaßlich die Umwelt, die Artenvielfalt und die Lebensgrundlagen der umliegenden Bevölkerung","Clean, Healthy & Sustainable Environment"
Inditex,Retail and consumer products,ES,BD,2025-03-28,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Missguided|SHEIN (part of Roadget Business Pte Ltd),Retail and consumer products,GB,BD,2025-03-28,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Urban Outfitters (URBN),Retail and consumer products,US,MU,2025-03-28,No,0,NA,Clothing & textile,Mauritius: 240 garment workers 'blindsided' by sudden layoffs at factory; incl. co. responses,Labour Rights|Purchasing practices
TJX|TK Maxx (part of TJX),Retail and consumer products,US,MU,2025-03-28,No,0,NA,Clothing & textile,Mauritius: 240 garment workers 'blindsided' by sudden layoffs at factory; incl. co. responses,Labour Rights|Purchasing practices
Le Coq Sportif,Retail and consumer products,FR,MU,2025-03-28,No,0,NA,Clothing & textile,Mauritius: 240 garment workers 'blindsided' by sudden layoffs at factory; incl. co. responses,Labour Rights|Purchasing practices
Sears (part of Transformco),Retail and consumer products,US,ID,2025-03-28,No,0,NA,Clothing & textile,"Indonesia: Over 10,000 textile workers laid off following Sritex closure; incl. co. responses",Labour Rights|Purchasing practices
Target,Retail and consumer products,US,BD,2025-03-28,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Capri Holdings|Michael Kors,Retail and consumer products,GB,BD,2025-03-21,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Next,Retail and consumer products,GB,BD,2025-03-17,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Land's End,Retail and consumer products,US,BD,2025-03-28,No,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Big Star,Retail and consumer products,PL,BD,2025-03-28,No,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Tally Weijl,Retail and consumer products,CH,BD,2025-03-28,No,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
American Eagle Outfitters,Retail and consumer products,US,BD,2025-03-28,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Sinosteel Cam S.A.|Sinosteel Corporation,Extractive,CN,CM,2025-03-31,No,0,Africa,Construction|Mining,"Cameroon: Lobé-Kribi iron ore project led by China's state-owned Sinosteel poses social and environmental challenges, warns NGO; incl. co. non-response",Chinese Overseas Investment
Industrial & Commercial Bank of China (ICBC),Financial services,CN,MZ,2025-04-01,No,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Société Générale,Financial services,FR,MZ,2025-03-21,Yes,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
African Development Bank Group (AfDB or ADB),Financial services,CI,MZ,2025-04-01,No,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
African Export-Import Bank (Afreximbank),Financial services,EG,MZ,2025-04-01,No,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Crédit Agricole,Financial services,FR,MZ,2025-03-27,Yes,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Servizi Assicurativi del Commercio Estero (SACE),Financial services,IT,MZ,2025-04-01,No,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Cassa Depositi e Prestiti,Financial services,IT,MZ,2025-03-24,Yes,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Mizuho Bank Ltd,Financial services,JP,MZ,2025-04-01,No,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
MUFG Bank (part of Mitsubishi UFJ Financial Group),Financial services,JP,MZ,2025-03-21,Yes,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Primark (part of Associated British Foods),Retail and consumer products,GB,BD,2025-04-01,Yes,0,NA,Clothing & textile,"Bangladesh: Beximco Group closes down 16 textile factories, laying off 40,000 workers; incl. co. responses",Labour Rights|Purchasing practices
Nippon Life Insurance,Financial services,JP,MZ,2025-04-01,No,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
SBI Shinsei Bank,Financial services,JP,MZ,2025-04-01,No,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
NIOA,Other,AU,NZ,2025-04-01,No,0,NA,Arms/Weapons,New Zealand: Activists protest presence of weapons company,Complicity|Killings|Protests
Sumitomo Mitsui Banking (part of Sumitomo Mitsui Financial Group),Financial services,JP,MZ,2025-03-28,Yes,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Sumitomo Mitsui Trust Holdings,Financial services,JP,MZ,2025-03-21,Yes,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Japan Bank for International Cooperation,Financial services,JP,MZ,2025-03-21,Yes,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Nippon Export & Investment Insurance,Financial services,JP,MZ,2025-03-21,Yes,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
Atradius,Financial services,NL,MZ,2025-03-26,Yes,0,NA,Finance & banking,Mozambique: CSOs call on 31 financial institutions to withdraw financial support for TotalEnergies’ Mozambique LNG project; incl. cos. responses & non-responses,Land Rights|Violence
